"modules"	"SRR1787538"	"SRR1787539"	"SRR1787540"	"SRR1787541"	"SRR1787546"	"SRR1787547"	"SRR1787548"	"SRR1787549"
"M1"	8.58403591250707	8.5898352317869	8.56641866589135	8.56169347706186	8.30538581203406	8.28946318971784	8.2983647423034	8.25508704789217
"M2"	9.38080600898031	9.44602511205024	9.12239838583137	9.11175866123304	9.69002755661725	9.64831371785078	9.40015177397274	9.31763608966508
"M3"	8.3574265050404	8.38266507563884	8.56087759591936	8.52725321561304	8.41129257276362	8.36342088238301	8.63111204974868	8.56906175947856
"M4"	8.36474374004864	8.41677226002028	8.44615931756299	8.44913305445825	8.42929378809113	8.32695969577037	8.5342590116659	8.45640439847713
"Not.Correlated"	6.4143161098246	6.97755832117061	6.76272061095372	6.00404553533835	7.1199193603283	5.98349337667835	6.26041305367968	6.95591241870655
