"modules"	"SRR1787538"	"SRR1787539"	"SRR1787540"	"SRR1787541"	"SRR1787546"	"SRR1787547"	"SRR1787548"	"SRR1787549"
"M1"	8.34964069735941	8.42189825516331	8.36345620645228	8.38676714616682	8.01586980891665	7.95575924282207	7.96777101732018	7.91395063361436
"M2"	8.85181317181016	8.87386376493755	8.85925076105531	8.93223451928665	9.30434512257982	9.16250263921749	8.83912107098067	8.86287475715926
"M3"	7.8945892320115	7.96269852680771	8.32201205230616	8.26180424857862	7.85304522844715	7.76393019504466	8.38806326690788	8.31127700555003
"M4"	7.82063149974501	8.22939269935234	8.26618387266723	8.36575810821492	8.22881806142852	8.24966727763126	8.3464334362034	8.41954935943256
"Not.Correlated"	6.4143161098246	6.97755832117061	6.76272061095372	6.00404553533835	7.1199193603283	5.98349337667835	6.26041305367968	6.95591241870655
